scene,interval,last_input_frame,target_frame,iou,baseline_iou
96,4,25,29,0.841988,0.738542
96,5,25,30,0.853190,0.738633
96,6,25,31,0.851446,0.734355
96,7,25,32,0.856645,0.737688
96,8,25,33,0.865073,0.742620
96,9,25,34,0.863184,0.739074
96,1,26,27,0.818159,0.758825
96,2,26,28,0.846498,0.768220
96,3,26,29,0.840943,0.760392
96,4,26,30,0.855221,0.765891
96,5,26,31,0.849925,0.759804
96,6,26,32,0.856645,0.759897
96,7,26,33,0.864939,0.770678
96,8,26,34,0.864010,0.772129
96,9,26,35,0.859736,0.762468
96,1,27,28,0.853300,0.791516
96,2,27,29,0.841675,0.780021
96,3,27,30,0.854369,0.782316
96,4,27,31,0.852590,0.782181
96,5,27,32,0.855404,0.784035
96,6,27,33,0.865174,0.782463
96,7,27,34,0.864892,0.786691
96,8,27,35,0.859911,0.789392
96,9,27,36,0.859697,0.781443
96,1,28,29,0.839782,0.795484
96,2,28,30,0.851962,0.794049
96,3,28,31,0.849801,0.798129
96,4,28,32,0.854875,0.796689
96,5,28,33,0.864133,0.809969
96,6,28,34,0.861752,0.806795
96,7,28,35,0.856789,0.795560
96,8,28,36,0.857604,0.800104
96,9,28,37,0.859371,0.794436
96,1,29,30,0.854151,0.793696
96,2,29,31,0.849863,0.794517
96,3,29,32,0.856362,0.806705
96,4,29,33,0.864710,0.803595
96,5,29,34,0.864394,0.801354
96,6,29,35,0.860517,0.795685
96,7,29,36,0.859736,0.803553
96,8,29,37,0.863467,0.796883
96,9,29,38,0.864348,0.806578
96,1,30,31,0.851732,0.803875
96,2,30,32,0.858422,0.801929
96,3,30,33,0.866103,0.805411
96,4,30,34,0.863286,0.809288
96,5,30,35,0.860303,0.801249
96,6,30,36,0.860945,0.803962
96,7,30,37,0.863964,0.803850
96,8,30,38,0.864959,0.800415
96,9,30,39,0.858955,0.803497
96,1,31,32,0.858495,0.806545
96,2,31,33,0.863964,0.801560
96,3,31,34,0.864495,0.806367
96,4,31,35,0.860124,0.803026
96,5,31,36,0.859592,0.795425
96,6,31,37,0.864677,0.800000
96,7,31,38,0.864744,0.800312
96,8,31,39,0.858528,0.800574
96,9,31,40,0.859309,0.802350
96,1,32,33,0.864576,0.812304
96,2,32,34,0.865174,0.806762
96,3,32,35,0.861332,0.801091
